"Protein.Group","Protein.Ids","Protein.Names","Genes","First.Protein.Description","b1_9_rep","b1_7","b1_2","b1_3","b1_6","b1_pool","b1_5","b1_1","b1_9","b1_4","b1_8","b1_10","b2_4","b2_8","b2_6","b2_9","b2_3","b2_1","b2_10","b2_7","b2_2","b2_pool","b2_5","b2_9_rep"
"A0A075B6H7;A0A0C4DH55;P01624","A0A075B6H7;A0A0C4DH55;P01624","KV315_HUMAN;KV37_HUMAN;KVD07_HUMAN","IGKV3-15;IGKV3-7;IGKV3D-7","Probable non-functional immunoglobulin kappa variable 3-7",1255930,1072930,324054,895472,1433530,1186730,1712170,742531,1178960,527737,822149,1134140,1238330,1335870,707507,1994790,2135680,928054,1876500,1174420,1361810,1148660,1776390,2021830
"A0A075B6I0","A0A075B6I0","LV861_HUMAN","IGLV8-61","Immunoglobulin lambda variable 8-61",39622.3,18325.2,32505.6,53047.4,106022,62500.6,40048.9,14408,65637.5,24114,78789.1,61343.5,17011.7,2132.26,26715.9,99548.9,109865,46870,99696.1,97799.4,52979.9,51903.7,43348.3,100764
"A0A075B6K4","A0A075B6K0;A0A075B6K4","LV310_HUMAN","IGLV3-10","Immunoglobulin lambda variable 3-10",3447.43,4556.11,5929.86,1265.92,3335.54,2064.52,NA,1491.05,NA,2841.25,NA,NA,NA,2207.28,1971.37,6998.05,5785.41,3331.22,15394,2301.25,2203.05,3837.12,764.099,6226
"A0A075B6K5","A0A075B6K5","LV39_HUMAN","IGLV3-9","Immunoglobulin lambda variable 3-9",1798.46,3414.03,NA,NA,NA,NA,746.117,4210.49,NA,3765.47,NA,NA,2431.69,7363.84,2537.04,8414.87,6461.46,3202.61,NA,2615.92,658.194,2751.61,3510.08,7945.58
"A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5;P01614;P01615;P06310","A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5;P01614;P01615;P06310","KV228_HUMAN;KV229_HUMAN;KV230_HUMAN;KV240_HUMAN;KVD26_HUMAN;KVD28_HUMAN;KVD29_HUMAN;KVD30_HUMAN;KVD40_HUMAN","IGKV2-28;IGKV2-29;IGKV2-30;IGKV2-40;IGKV2D-26;IGKV2D-28;IGKV2D-29;IGKV2D-30;IGKV2D-40","Immunoglobulin kappa variable 2-28",47008.9,108050,31067.3,80432.7,107048,61533.4,30143.2,30569.2,38856.4,45732.7,51559.2,52460.5,24948.3,43096.5,92491.6,43364.5,63453.1,31109.8,69869.3,86955,45499.7,51554.9,61389.3,30746.5
"A0A075B6R9;A0A0C4DH68","A0A075B6R9;A0A0C4DH68","KV224_HUMAN;KVD24_HUMAN","IGKV2-24;IGKV2D-24","Probable non-functional immunoglobulin kappa variable 2D-24",11475.9,26092.7,19081.2,18470.7,42453.6,15892.2,16065.2,19726,32830.3,16807.2,17415.2,11633.5,32024.3,2747.83,17811,22391.8,16127.7,15805.3,25199.2,32404.9,15162,17847.8,21906.2,27053.1
"A0A075B6S5","A0A075B6S5;A0A0C4DH67;A0A0C4DH69","KV127_HUMAN","IGKV1-27","Immunoglobulin kappa variable 1-27",10355.7,12084.6,15353.7,9205.55,8728.98,7993.32,11445.7,NA,7307.85,7850.06,10054.5,6170.34,13930,11046.2,10750.8,8370.52,17964.1,6877.34,13679.8,NA,8140.84,9983.78,12442.7,12120.9
"A0A087WSY6","A0A087WSY6","KVD15_HUMAN","IGKV3D-15","Immunoglobulin kappa variable 3D-15",80308.9,68791.9,21917.3,61417.6,82390.4,56292.7,42613.9,31393.9,66180.6,17790.7,18422.2,35196.5,106663,58027.8,43515.9,85631.8,123021,52412.9,97854.2,41230.3,65024.5,61794.4,49911.5,79053.1
"A0A0A0MRZ8;P04433","A0A0A0MRZ8;P04433","KV311_HUMAN;KVD11_HUMAN","IGKV3-11;IGKV3D-11","Immunoglobulin kappa variable 3D-11",181269,293542,141702,362176,492027,441732,343723,141404,218175,145878,191090,254921,377885,202963,238986,453705,747830,213191,437362,251200,214810,294949,367798,411781
"A0A0A0MS15","A0A0A0MS15","HV349_HUMAN","IGHV3-49","Immunoglobulin heavy variable 3-49",14021.2,23601.3,19913.6,45312.3,16504.2,21396.5,21133.3,20432.3,8518.79,13318.7,18785.2,48868.6,26240.2,20627.9,44208.1,11493,52397.8,40667.2,16017.5,30417.9,27005.4,29570.5,22114.2,14724.2
"A0A0A0MT36;A0A0C4DH26","A0A0A0MT36;A0A0C4DH26","KVD21_HUMAN;KVD41_HUMAN","IGKV6D-21;IGKV6D-41","Immunoglobulin kappa variable 6D-21",3993.24,4442.98,839.076,8894.65,15275.5,2640.29,3104.52,5631.8,5566.09,685.881,NA,NA,NA,NA,5598.81,NA,NA,4786.54,3787.78,16130.9,5518.35,7112.86,3076.66,4691.89
"A0A0B4J1U7","A0A0B4J1U7","HV601_HUMAN","IGHV6-1","Immunoglobulin heavy variable 6-1",347995,125678,50042.2,236893,30383,165621,19958.8,112548,345319,20886.6,20228.4,15844.2,87427.7,45803,109558,20837.4,181168,45346.4,179359,456349,236447,130524,214395,14008.3
"A0A0B4J1V0","A0A0B4J1V0","HV315_HUMAN","IGHV3-15","Immunoglobulin heavy variable 3-15",NA,2121.28,NA,2063.86,NA,5269.98,NA,NA,NA,659.215,1226.35,NA,4371.2,NA,2853.44,6906.14,2150.63,NA,7025.72,2474.51,5795.92,2432.32,NA,2163.32
"A0A0B4J1V2","A0A0B4J1V2","HV226_HUMAN","IGHV2-26","Immunoglobulin heavy variable 2-26",15075.7,23698.6,5283.79,26724.1,16875.6,20968.4,19207.4,7417.96,11906.1,17220.9,13571.4,2729.33,2315.9,101201,6475.7,24162.9,27562.8,11293.5,26891.5,2128.23,21101.3,17186.6,8222.49,34491.3
"A0A0B4J1X5","A0A0B4J1X5","HV374_HUMAN","IGHV3-74","Immunoglobulin heavy variable 3-74",168618,225377,112549,221066,206506,229282,182658,110870,127787,170735,201371,176270,124068,183051,357583,251440,217610,120309,258621,285348,155774,247834,183246,183926
"A0A0B4J1X8","A0A0B4J1X8","HV343_HUMAN","IGHV3-43","Immunoglobulin heavy variable 3-43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6305.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A0B4J1Y9","A0A0B4J1Y9","HV372_HUMAN","IGHV3-72","Immunoglobulin heavy variable 3-72",145209,109771,100420,158398,239345,181683,258477,91797.2,140817,59144.6,124636,120753,147423,113559,148576,433963,383601,162272,400376,232167,192702,207424,153358,420646
"A0A0C4DH24","A0A0C4DH24","KV621_HUMAN","IGKV6-21","Immunoglobulin kappa variable 6-21",NA,1706.97,4534.88,NA,848.895,3029.85,NA,3764.97,NA,NA,5227.7,NA,NA,NA,NA,NA,6474.47,NA,NA,5876.68,NA,2237.19,3920.28,2298.16
"A0A0C4DH25","A0A0C4DH25","KVD20_HUMAN","IGKV3D-20","Immunoglobulin kappa variable 3D-20",154802,111830,77761.5,294838,479899,172132,156222,85936.5,120578,74088.9,79956.6,233331,195996,150522,92182.5,160180,272452,108123,146390,128726,116136,182105,121542,147732
"A0A0C4DH29","A0A0B4J2H0;A0A0C4DH29;P01742;P01743;P0DP01","HV103_HUMAN","IGHV1-3","Immunoglobulin heavy variable 1-3",1737.14,9729.72,5455.24,6291.76,17996.9,14845.2,8014.53,1590.74,7240.41,5552.46,6063.61,11794.6,NA,5259.36,11099.9,9308.9,13133.6,6970.49,9370.94,14232.2,2739.62,12388.8,11077.1,12053.7
"A0A0C4DH31","A0A0C4DH31","HV118_HUMAN","IGHV1-18","Immunoglobulin heavy variable 1-18",NA,NA,NA,NA,9994.11,16843.3,14913.5,9979.75,12016.5,7578.45,10704.6,NA,13636.5,12121.5,14310,16150.1,35195.6,12738.5,15477.6,3698.07,6850.56,9910.91,11477.5,19142.4
